stock_code,stock_name,sw_industry,year,label,ar_turnover,asset_turnover,cash_interest_coverage,current_asset_turnover,current_ratio,debt_to_asset,debt_to_equity,ebit,eps,fixed_asset_turnover,gross_margin,inventory_turnover,net_assets_growth,net_margin,net_profit_growth,ocf_per_share,operating_cash_flow,operating_income_ratio,operating_margin,quick_ratio,retained_earnings,revenue_growth,roa,roe,top10_holders_pct,total_assets,total_assets_growth,total_revenue,working_capital,audit_opinion_code,is_non_standard_audit
600107.SH,*ST尔雅,服装家纺,2023,1,8.0119,0.3725,-351.27396652332,0.5754,1.9968,43.6607,0.8188,-10034501.0,-0.17,4.5043,36.4877,1.1266,-7.9640130349354,-12.7192,57.085,-0.1292,-46507380.62,,-4.282,1.2364,9583485.2,5.4988,-0.8232,7.2134,31.46,1050792762.15,-24.2453,453997393.11,437774560.0,2.0,1
002157.SZ,正邦科技,养殖业,2021,1,147.0259,0.9009,-175.09469129312,2.0411,0.4784,92.6008,21.1561,-17915265197.05,-6.006,3.0423,-25.1776,5.744,-91.234135258264,-40.0976,-427.6179,-0.7025,-2204291113.41,,-37.9442,0.2009,-11866052169.61,-3.0429,-33.8578,-184.0133,59.07,46567004290.34,-21.4186,47670223670.25,-16468847785.17,0.0,0
300621.SZ,维业股份,装修装饰Ⅱ,2023,0,6.9206,1.2281,-79.359412077561,1.2836,1.0321,93.7401,14.9747,257855790.35,0.04,83.2314,5.2417,17.959,-72.665998878386,0.1312,43.3266,-0.8127,-169085129.24,93.9652,0.4899,0.9304,499088591.72,4.9667,2.0393,0.182,56.28,13126493099.32,7.9253,15528964634.08,391959096.14,0.0,0
603880.SH,南卫股份,医疗器械,2021,1,5.2264,0.4571,-714.07047611905,0.8561,1.0048,48.4861,0.9488,-20043730.89,-0.0778,1.5927,20.7138,2.4952,-9.4157524834924,-4.3679,-123.2105,-0.2881,-84252019.54,,-5.3226,0.5571,236349957.4,-50.8168,-1.737,-18.9827,66.6,1235190728.96,15.1537,527440662.01,2832707.32,0.0,0
002335.SZ,科华数据,其他电源设备Ⅱ,2022,0,2.7272,0.5779,1582.0766569166,1.3638,1.0563,60.7581,1.6342,413671744.45,0.54,1.9689,29.4673,5.4931,5.241975569234,4.6874,-43.3964,3.4552,1594826333.3,93.2758,6.6505,0.7558,1491760146.5,16.0879,4.2321,-6.111,49.81,9977763291.45,4.2468,5648497927.46,236454132.9,0.0,0
688729.SH,屹唐股份,半导体,2022,0,11.0505,0.7106,-3880.5419381779,0.9906,2.8233,34.4555,0.5257,386522425.72,0.14,29.4477,28.5167,1.4789,14.082700478354,8.0317,111.0614,-0.19,-517224376.14,93.4762,8.3982,1.291,540209379.94,46.9574,5.7674,3.957,,7598811157.98,30.9012,4762627382.04,3513703221.22,0.0,0
002866.SZ,传艺科技,消费电子,2023,0,2.8909,0.4531,732.36023075242,0.8694,1.0274,51.1195,1.0408,9556742.88,0.14,1.4499,23.8299,3.6165,1.463697728291,1.4253,-63.6757,0.8807,254979726.12,-88.806,0.2618,0.6487,760111025.2,-11.2665,0.2442,-3.7584,55.73,4247119600.8,18.6198,1773523606.62,53467130.33,0.0,0
002287.SZ,奇正藏药,中药Ⅱ,2023,0,22.9506,0.3357,1099.4254968189,0.6404,2.5653,40.142,0.6796,694345225.22,1.0972,2.1196,84.1912,2.276,11.523586983535,28.3195,22.994,1.3078,693405084.34,64.2143,31.6056,2.4009,2576119940.72,0.0178,11.3966,1.9487,89.52,6298478593.58,6.9961,2045152409.09,1949149726.97,0.0,0
000065.SZ,北方国际,专业工程,2021,0,3.7541,0.6974,885.03816040337,1.071,1.4869,64.63,2.0124,797051680.53,0.808,9.6859,10.6925,14.0601,10.476948410793,5.1881,-16.9915,1.9335,1497433161.2,76.6592,6.1895,1.1021,4318802876.42,1.5513,4.2594,-3.6124,67.89,19343811173.9,6.9819,13050012731.64,3856058016.56,0.0,0
601399.SH,国机重装,专用设备,2023,0,2.4794,0.385,1844.1119732678,0.5425,1.7517,51.6857,1.1178,411198374.7,0.0597,3.2449,16.8044,2.7358,3.622913363607,3.9227,6.8242,0.0998,719741210.88,73.6294,4.5785,1.2836,-8538914860.56,16.601,1.406,0.0834,80.91,30072528899.86,5.8242,11258048655.79,9157398710.28,0.0,0
600287.SH,苏豪时尚,贸易Ⅱ,2022,1,10.5894,1.0346,207.25265884081,1.5393,1.4367,51.0567,1.1435,159705967.0,0.1374,15.2431,11.8706,6.3442,-2.804279892351,2.5752,108.6878,0.1458,64642123.94,89.3953,3.3425,0.9365,716749412.5,8.1914,4.0346,34.8664,55.21,3854381166.12,-5.1221,4095570085.66,802967800.68,1.0,1
002816.SZ,*ST和科,专用设备,2021,1,1.3223,0.3852,-16096.844406522,0.5704,5.8081,12.7289,0.1459,21837918.29,0.13,2.267,25.3167,1.4443,3.2711332748308,6.6321,125.9071,-0.8406,-84061296.6,-159.9967,10.8979,3.7993,113898986.36,33.0839,4.2023,15.0951,43.81,480295163.81,-14.0869,200191296.36,266032054.19,0.0,0
