,特征,平均|SHAP|
1,total_assets_growth,0.04383064163405312
2,net_assets_growth,0.0423032591332951
3,eps,0.0401759306420133
4,debt_to_asset,0.02026557128737949
5,net_margin,0.020222989641510928
6,roa,0.017043228304889746
7,cash_interest_coverage,0.01702067603825997
8,debt_to_equity,0.015298700016241618
9,ar_turnover,0.014673824443200277
10,revenue_growth,0.013596252501289138
11,operating_margin,0.012804463867105372
12,gross_margin,0.01247281839373181
13,inventory_turnover,0.01231882814679125
14,roe,0.01153261109566252
15,ebit,0.010487097136464427
16,current_ratio,0.010390008979959776
17,asset_turnover,0.010349519541067389
18,fixed_asset_turnover,0.010070760322459777
19,operating_income_ratio,0.009680603827851283
20,top10_holders_pct,0.009435258090356922
21,net_profit_growth,0.007314970468874005
22,retained_earnings,0.007060381103196972
23,working_capital,0.006849043222406244
24,quick_ratio,0.006654756044188926
25,total_revenue,0.0061476769185778365
26,ocf_per_share,0.005887153742285309
27,current_asset_turnover,0.004531844374974961
28,operating_cash_flow,0.004529449526438818
29,total_assets,0.0026430104142767755
30,is_non_standard_audit,0.0021652877769733165
31,audit_opinion_code,0.002007899055347251
